fold,accuracy,precision,recall,f1,roc_auc,model
1,0.66745,0.6709101931237551,0.7309869786752218,0.6996613230977647,0.7266977150970959,KNN
2,0.6722,0.6757085724221874,0.7333459143234573,0.7033484162895928,0.7301570959815138,KNN
3,0.6727,0.677937818373441,0.7283449707491979,0.7022379912663755,0.7320541198146218,KNN
4,0.67385,0.6772790535838552,0.7345976035475045,0.7047748359357321,0.7345017998027101,KNN
5,0.66115,0.6661739130434783,0.7228040381168035,0.6933345400244355,0.7182075458566091,KNN
1,0.6883,0.6831458787980527,0.7679750896395546,0.7230810234541578,0.7562822656331949,SVM
2,0.6864,0.6813988594431399,0.7666540856765427,0.7215167391883491,0.749977379106781,SVM
3,0.67605,0.6778651006131791,0.7406114361200227,0.7078504757180863,0.7366939972017534,SVM
4,0.68435,0.6893109540636042,0.7362015284460798,0.7119850358136777,0.7473906250365372,SVM
5,0.6873,0.6819971517131608,0.7680913293706954,0.7224884629037983,0.7497653254854952,SVM
1,0.71805,0.7305010690713024,0.7414606529533875,0.7359400608756731,0.795302925072175,MLP
2,0.7252,0.7289946140035907,0.766276655972825,0.74717085288435,0.7987108419191367,MLP
3,0.71925,0.7294410166682015,0.7474051707869409,0.7383138369762782,0.7970294291197093,MLP
4,0.72595,0.7241198108250131,0.7800735918482876,0.7510560021801336,0.8029933983431893,MLP
5,0.7212,0.7278004535147392,0.7570525521275592,0.7421383647798742,0.7916638678745727,MLP
1,0.71335,0.7272302662307333,0.7345725608605397,0.7308829742289819,0.790828619777469,XGBoost
2,0.7214,0.7347281898001121,0.7422155123608228,0.7384528726999624,0.7968536706002133,XGBoost
3,0.7179,0.732545045045045,0.7365540668050575,0.7345440858191399,0.7967521927112231,XGBoost
4,0.727,0.7391790002792517,0.7492216246815737,0.7441664323868429,0.8043700879191547,XGBoost
5,0.7172,0.7338000189196859,0.7318614963675818,0.7328294756731223,0.7912601694004103,XGBoost
