model,fold,selected_features
KNN,1,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
KNN,2,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
KNN,3,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
KNN,4,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
KNN,5,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
SVM,1,"['f1', 'f2', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
SVM,2,"['f1', 'f4', 'f6', 'f7', 'f10', 'f11', 'f13', 'f17', 'f18', 'f21', 'f22', 'f23', 'f26', 'f27', 'f28']"
SVM,3,"['f1', 'f4', 'f6', 'f10', 'f11', 'f13', 'f15', 'f17', 'f18', 'f21', 'f23', 'f24', 'f26', 'f27', 'f28']"
SVM,4,"['f1', 'f4', 'f6', 'f9', 'f10', 'f13', 'f14', 'f17', 'f18', 'f20', 'f22', 'f23', 'f26', 'f27', 'f28']"
SVM,5,"['f1', 'f4', 'f6', 'f8', 'f10', 'f11', 'f13', 'f14', 'f17', 'f18', 'f22', 'f23', 'f26', 'f27', 'f28']"
MLP,1,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
MLP,2,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
MLP,3,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
MLP,4,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
MLP,5,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
XGBoost,1,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
XGBoost,2,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
XGBoost,3,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
XGBoost,4,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28']"
XGBoost,5,"['f1', 'f4', 'f6', 'f10', 'f13', 'f14', 'f17', 'f18', 'f21', 'f22', 'f23', 'f24', 'f26', 'f27', 'f28']"
